来源类别,序号,岗位名称,岗位职责,日常工作内容,工作强度,是否经常加班,工作环境,晋升方向,常见单位,考试专业科目,考试内容,推荐指数,一句话总结,原始标题
技能岗,160,水暖工,负责营区供水、供暖、给排水系统安装、维护、检修及故障处理。,巡检供水管网、维修水暖设备、更换管件、处理漏水故障、维护锅炉及供暖设施（部分单位）。,★★★★☆,★★★☆☆,营区、水泵房、管网井、设备机房。,水暖工 → 技师 → 后勤设施保障负责人。,联勤保障部队、军队医院、军事院校、营区保障中心。,,水暖维修技能、设备维护、安全操作。,★★★★☆,"冬季供暖、突发故障及抢修期间需及时到岗。
营区基础设施的重要保障岗位，具有较强实用性。",160 水暖工
技能岗,161,园艺员 / 园艺技师,负责营区绿化养护、植物栽培、草坪维护、病虫害防治及园林景观管理。,修剪树木、浇灌施肥、草坪养护、花卉种植、绿化巡查、病虫害防治。,★★★☆☆,★★☆☆☆,营区绿化区域、园林养护现场。,园艺工 → 园艺技师 → 绿化负责人。,干休所、疗养院、军事院校、联勤保障部队。,,园艺养护技能、植物基础知识。,★★★☆☆,"春秋绿化和重大活动保障期间工作增加。
工作环境较好，适合园艺及绿化相关技能人员。",161 园艺员 / 园艺技师
技能岗,162,司泵员,负责营区供水泵站、消防泵房、排水系统等设备运行、维护及故障处理。,设备巡检、启停设备、压力监测、设备保养、故障排查、运行记录填写。,★★★☆☆,★★★☆☆,泵房、设备机房。,司泵员 → 技师 → 设备运行负责人。,联勤保障部队、军队医院、军事院校、训练基地。,,设备操作技能、安全操作规范。,★★★★☆,"实行值班制度，突发设备故障时需紧急处理。
保障供水系统稳定运行的专业岗位，责任较大。",162 司泵员
技能岗,163,电梯员 / 营房维修工,负责营区、医院、院校电梯设备运行、维护保养、故障排查及安全管理。,巡检电梯、设备保养、故障维修、安全检测、应急救援演练、维保记录填写。,★★★☆☆,★★★☆☆,医院、办公楼、宿舍楼、设备机房。,运维工 → 技师 → 设备保障负责人。,军队医院、军事院校、机关办公区。,,电梯维修与运行技能（一般要求持有特种设备作业证）。,★★★★☆,"故障抢修及节假日值班期间工作增加。
专业性较强，持证人员报考优势明显。",163 电梯员 / 营房维修工
技能岗,164,营房维修工,负责营房建筑、办公设施、生活设施日常维修、巡检及综合保障工作。,墙体修补、门窗维修、水电检修、屋面维护、设施巡查、应急抢修、施工协调。,★★★★☆,★★★☆☆,营区、办公楼、宿舍区、施工现场。,维修工 → 技师 → 营房保障负责人。,联勤保障部队、军队医院、军事院校、干休所。,,综合维修技能、安全施工知识。,★★★★★,"遇有突发设施故障或大型维修工程时工作增加。
营区综合保障核心岗位，工作内容覆盖面广，需求长期稳定。",164 营房维修工
技能岗,165,话务员,负责单位电话通信保障、总机值守、通信接转及通信设备日常维护，确保各类通信联络及时、准确、畅通。,接听电话、转接线路、记录通信信息、值守总机、维护通信设备、处理简单通信故障、做好值班记录。,★★★☆☆,★★★☆☆,通信值班室、通信机房。,话务员 → 通信班长 → 通信保障负责人。,信息支援部队、机关单位、军队医院、军事院校。,,通信基础知识、岗位技能操作。,★★★★☆,"部分单位实行24小时轮班和值班制度，重大任务期间通信保障时间延长。
通信保障基础岗位，工作稳定，对责任心要求较高。",165 话务员
技能岗,166,文印员,负责文件打印、复印、装订、保密印制及办公文印设备管理，保障机关日常办公需求。,打印文件、复印资料、装订文件、维护打印设备、管理纸张耗材、整理档案资料。,★★☆☆☆,★★☆☆☆,办公室、文印室。,文印员 → 文印主管 → 综合保障岗位。,军委机关、军队院校、军队医院、联勤保障部队。,,办公设备操作、文印技能。,★★★★☆,"会议保障、材料集中印制期间工作增加。
行政保障岗位，工作规律，适合熟悉办公设备操作的人员。",166 文印员
技能岗,167,通信员 / 收发员,负责公文、文件、通信资料收发、登记、传递及保密管理，确保信息传递及时、安全。,接收文件、登记流转、保密检查、资料归档、邮件收发、通信记录管理。,★★★☆☆,★★☆☆☆,办公室、通信值班室。,收发通信员 → 通信主管 → 综合保障负责人。,机关单位、军队医院、军事院校、信息支援部队。,,保密知识、通信流程、岗位技能。,★★★★☆,"重大任务和文件集中流转期间工作增加。
偏行政通信保障，细致严谨是岗位核心要求。",167 通信员 / 收发员
技能岗,168,视频会议系统管理员,负责视频会议系统运行维护、会议设备调试、会议现场技术保障及远程会议支持。,设备调试、音视频测试、会议值守、故障排查、设备维护、会议资料保障。,★★★☆☆,★★★☆☆,会议中心、机房、办公室。,技术保障员 → 技师 → 信息保障负责人。,军委机关、军队医院、军事院校、联勤保障部队。,,音视频设备操作、网络基础知识。,★★★★★,"大型会议、节假日保障期间工作增加。
近年来需求不断增加，信息化保障特色明显。",168 视频会议系统管理员
技能岗,169,网络管理员 / 网络监控员 / 信息安全员,负责网络机房设备运行维护、服务器管理、网络巡检及机房安全管理。,巡检服务器、监控网络运行、维护交换机及路由器、UPS设备检查、机房环境管理、故障处理。,★★★★☆,★★★★☆,网络机房、数据中心。,机房管理员 → 网络运维主管 → 信息保障负责人。,信息支援部队、军队医院、军事院校、机关信息中心。,,计算机网络、服务器基础、设备维护。,★★★★★,"网络故障、系统升级及重大保障期间需值班。
技能岗中技术含量较高，适合计算机、网络技术相关技能人员。",169 网络管理员 / 网络监控员 / 信息安全员
技能岗,170,卫生员,协助医生、护士开展基础医疗、健康保障、伤病救护及医疗物资管理工作。,测量生命体征、协助换药、医疗器械消毒、药品管理、患者转运、健康宣教。,★★★★☆,★★★★☆,军队医院、门诊部、疗养院。,卫生员 → 高级卫生员 → 医疗保障负责人。,军队医院、联勤保障部队、基层医疗机构。,,医学基础知识、急救技能。,★★★★★,"实行轮班制度，重大医疗保障期间工作增加。
医疗辅助保障的重要岗位，招聘较为稳定。",170 卫生员
技能岗,171,理发员,负责单位人员日常理发、发型修整、理发工具维护及理发室卫生管理，为单位提供日常理容保障。,理发、洗护、工具消毒、设备维护、理发用品管理、保持理发室整洁。,★★★☆☆,★★☆☆☆,理发室、生活服务中心。,理发员 → 服务保障负责人。,联勤保障部队、军队医院、军事院校、干休所。,,理发技能、卫生消毒知识。,★★★☆☆,"重大活动、节假日前理发需求增加。
生活保障岗位，工作节奏相对稳定，具有理发技能证书更具优势。",171 理发员
技能岗,172,档案管理员兼司机,负责档案资料管理，同时承担单位公务车辆驾驶及相关保障工作。,整理档案、录入档案信息、档案借阅管理、驾驶公务车辆、车辆日常保养、协助行政事务。,★★★☆☆,★★★☆☆,办公室、档案室、公务车辆。,综合保障员 → 综合保障主管。,机关单位、军队医院、军事院校、干休所。,,档案管理基础、驾驶技能。,★★★★☆,"外出公务及档案集中整理期间工作增加。
复合型岗位，同时具备行政保障和驾驶保障职责。",172 档案管理员兼司机
技能岗,173,勤务班班长,负责勤务班日常管理、人员分工、生活保障及后勤任务组织实施。,安排值班、组织保障任务、检查内务、协调后勤工作、落实日常管理制度、组织应急保障。,★★★★☆,★★★★☆,营区、办公区、保障现场。,勤务班班长 → 勤务保障主管 → 后勤保障负责人。,联勤保障部队、军队医院、军事院校、机关单位。,,综合勤务管理、岗位技能、组织协调能力。,★★★★☆,"重大活动、节假日和集中保障期间工作量增加。
综合管理岗位，既负责保障工作，也承担基层管理职责。",173 勤务班班长
